# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab Lactobacillus_ref_seqs_filt_aligned/Lactobacillus_ref_seqs_filt_aligned.tab --viterbi /home/adamsorbie/miniconda3/envs/bioinfo/share/ssu-align-0.1.1/ssu-align-0p1.cm Lactobacillus_ref_seqs_filt.fna
# date:       Mon Jun 29 16:53:33 2020
# num seqs:   183
# dbsize(Mb): 0.568504
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                                         target coord   query coord                         
#                                                                               ----------------------  ------------                         
# model name  target name                                                            start        stop  start   stop    bit sc   E-value  GC%
# ----------  ----------------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     RS_GCF_002706375.1_d__Bacteria;Lactobacillus_amylovorus                   49        1557      1   1508    723.03         -   53
  archaea     RS_GCF_000615845.1_d__Bacteria;Lactobacillus_B_hayakitensis               50        1555      1   1508    746.85         -   52
  archaea     RS_GCF_000876205.1_d__Bacteria;Lactobacillus_H_wasatchensis               49        1569      1   1508    727.08         -   51
  archaea     RS_GCF_001311375.1_d__Bacteria;Lactobacillus_H_equigenerosi               50        1570      1   1508    740.06         -   53
  archaea     RS_GCF_001435975.1_d__Bacteria;Lactobacillus_G_collinoides              1509           1      1   1508    728.73         -   52
  archaea     RS_GCF_000615285.1_d__Bacteria;Lactobacillus_kitasatonis                1508           1      1   1508    723.41         -   53
  archaea     RS_GCF_002911475.1_d__Bacteria;Lactobacillus_sp002911475                1509           1      1   1508    746.15         -   53
  archaea     RS_GCF_900103655.1_d__Bacteria;Lactobacillus_kefiranofaciens            1509           1      1   1508    728.11         -   54
  archaea     RS_GCF_001435325.1_d__Bacteria;Lactobacillus_intestinalis               1513           1      1   1508    728.85         -   54
  archaea     RS_GCF_000159435.1_d__Bacteria;Lactobacillus_H_vaginalis                1406           1      1   1508    704.16         -   54
  archaea     GB_GCA_000615245.1_d__Bacteria;Lactobacillus_C_rhamnosus                1515           1      1   1508    762.95         -   52
  archaea     RS_GCF_002088015.1_d__Bacteria;Lactobacillus_crispatus                    49        1557      1   1508    722.57         -   53
  archaea     RS_GCF_900240275.1_d__Bacteria;Lactobacillus_H_timonensis                 49        1568      1   1508    741.68         -   54
  archaea     RS_GCF_001436735.1_d__Bacteria;Lactobacillus_O_cacaonum                  912         922      1   1508     -1.00         -   45
  archaea     RS_GCF_001436735.1_d__Bacteria;Lactobacillus_O_cacaonum                 1504           1      1   1508    725.07         -   51
  archaea     RS_GCF_001434225.1_d__Bacteria;Lactobacillus_O_nagelii                    49        1553      1   1508    723.90         -   52
  archaea     RS_GCF_001436455.1_d__Bacteria;Lactobacillus_jensenii                   1508           1      1   1508    734.09         -   52
  archaea     RS_GCF_001436045.1_d__Bacteria;Lactobacillus_H_frumenti                   50        1569      1   1508    770.08         -   54
  archaea     RS_GCF_001435445.1_d__Bacteria;Lactobacillus_K_paralimentarius_B           9        1463      1   1508    708.46         -   51
  archaea     RS_GCF_900112665.1_d__Bacteria;Lactobacillus_bombicola                  1511           1      1   1508    739.31         -   52
  archaea     RS_GCF_001434535.1_d__Bacteria;Lactobacillus_B_animalis                   50        1558      1   1508    740.37         -   52
  archaea     RS_GCF_001434535.1_d__Bacteria;Lactobacillus_B_animalis                  647         639      1   1508     -0.03         -   56
  archaea     RS_GCF_001436305.1_d__Bacteria;Lactobacillus_ultunensis                   49        1557      1   1508    728.93         -   54
  archaea     RS_GCF_000463075.2_d__Bacteria;Lactobacillus_F_plantarum_A                50        1561      1   1508    730.71         -   51
  archaea     RS_GCF_000159355.1_d__Bacteria;Lactobacillus_johnsonii                  1518           1      1   1508    751.97         -   52
  archaea     RS_GCF_000829035.1_d__Bacteria;Lactobacillus_C_paracasei                1515           1      1   1508    764.42         -   53
  archaea     RS_GCF_000178475.1_d__Bacteria;Lactobacillus_amylolyticus               1509           1      1   1508    745.47         -   54
  archaea     RS_GCF_001437125.1_d__Bacteria;Lactobacillus_G_paucivorans                48        1558      1   1508    736.32         -   52
  archaea     RS_GCF_001434735.1_d__Bacteria;Lactobacillus_G_buchneri                    2        1457      1   1508    729.88         -   53
  archaea     RS_GCF_001434465.1_d__Bacteria;Lactobacillus_H_oris                       50        1569      1   1508    736.22         -   54
  archaea     RS_GCF_001434365.1_d__Bacteria;Lactobacillus_H_gastricus                  49        1567      1   1508    749.69         -   53
  archaea     RS_GCF_001435895.1_d__Bacteria;Lactobacillus_G_parafarraginis           1519           1      1   1508    747.11         -   52
  archaea     RS_GCF_001436755.1_d__Bacteria;Lactobacillus_O_aquaticus                1504           1      1   1508    733.84         -   51
  archaea     RS_GCF_001434255.1_d__Bacteria;Lactobacillus_G_diolivorans              1520           1      1   1508    743.85         -   52
  archaea     RS_GCF_002993975.1_d__Bacteria;Lactobacillus_G_micheneri                1517           1      1   1508    734.94         -   50
  archaea     RS_GCF_001434275.1_d__Bacteria;Lactobacillus_K_mindensis                1512           1      1   1508    735.87         -   51
  archaea     RS_GCF_002916935.1_d__Bacteria;Lactobacillus_sp002916935                  48        1560      1   1508    728.13         -   52
  archaea     RS_GCF_001436255.1_d__Bacteria;Lactobacillus_G_rapi                       48        1567      1   1508    735.98         -   52
  archaea     RS_GCF_002907375.1_d__Bacteria;Lactobacillus_G_lindneri                   49        1570      1   1508    732.37         -   52
  archaea     RS_GCF_000469325.1_d__Bacteria;Lactobacillus_J_shenzhenensis               1        1451      1   1508    735.94         -   53
  archaea     RS_GCF_900110005.1_d__Bacteria;Lactobacillus_B_ruminis_A                 912         920      1   1508     -0.03         -   56
  archaea     RS_GCF_900110005.1_d__Bacteria;Lactobacillus_B_ruminis_A                1511           1      1   1508    724.92         -   51
  archaea     RS_GCF_001663675.1_d__Bacteria;Lactobacillus_E_backii                     49        1562      1   1508    747.72         -   52
  archaea     RS_GCF_000829055.1_d__Bacteria;Lactobacillus_C_casei                      49        1563      1   1508    763.16         -   53
  archaea     RS_GCF_001949975.1_d__Bacteria;Lactobacillus_G_kunkeei_A                1452           1      1   1508    729.31         -   51
  archaea     RS_GCF_001434585.1_d__Bacteria;Lactobacillus_K_crustorum                1512           1      1   1508    722.41         -   51
  archaea     RS_GCF_001434845.1_d__Bacteria;Lactobacillus_O_hordei                      4        1455      1   1508    718.61         -   51
  archaea     RS_GCF_000160875.1_d__Bacteria;Lactobacillus_iners                      1516           1      1   1508    764.37         -   53
  archaea     RS_GCF_001436375.1_d__Bacteria;Lactobacillus_N_composti                   50        1555      1   1508    755.04         -   52
  archaea     RS_GCF_001436115.1_d__Bacteria;Lactobacillus_C_brantae                  1518           1      1   1508    761.61         -   52
  archaea     RS_GCF_001435095.1_d__Bacteria;Lactobacillus_G_spicheri                 1511           1      1   1508    722.27         -   52
  archaea     RS_GCF_000583655.1_d__Bacteria;Lactobacillus_G_farraginis               1519           1      1   1508    746.88         -   54
  archaea     RS_GCF_000615805.1_d__Bacteria;Lactobacillus_D_fuchuensis                 50        1565      1   1508    777.72         -   52
  archaea     RS_GCF_002970915.1_d__Bacteria;Lactobacillus_F_sp002970915                50        1568      1   1508    721.40         -   51
  archaea     RS_GCF_001591685.1_d__Bacteria;Lactobacillus_B_murinus                    50        1558      1   1508    748.18         -   52
  archaea     RS_GCF_001591685.1_d__Bacteria;Lactobacillus_B_murinus                   647         639      1   1508     -0.03         -   56
  archaea     RS_GCF_001435375.1_d__Bacteria;Lactobacillus_B_aviarius_D                 50        1557      1   1508    729.41         -   51
  archaea     RS_GCF_001434895.1_d__Bacteria;Lactobacillus_G_odoratitofui             1511           1      1   1508    743.14         -   53
  archaea     RS_GCF_001436225.1_d__Bacteria;Lactobacillus_C_sharpeae                 1458           1      1   1508    760.14         -   53
  archaea     RS_GCF_001435505.1_d__Bacteria;Lactobacillus_K_futsaii                    49        1560      1   1508    725.46         -   51
  archaea     RS_GCF_001437435.1_d__Bacteria;Lactobacillus_I_siliginis                  50        1569      1   1508    705.46         -   51
  archaea     RS_GCF_001311175.1_d__Bacteria;Lactobacillus_C_pantheris                1518           1      1   1508    711.58         -   52
  archaea     RS_GCF_900156885.1_d__Bacteria;Lactobacillus_H_sp900156885                49        1567      1   1508    749.44         -   54
  archaea     RS_GCF_001436775.1_d__Bacteria;Lactobacillus_acetotolerans              1515           1      1   1508    722.65         -   52
  archaea     RS_GCF_000829395.1_d__Bacteria;Lactobacillus_H_hokkaidonensis             49        1572      1   1508    728.73         -   51
  archaea     RS_GCF_000829395.1_d__Bacteria;Lactobacillus_H_hokkaidonensis            100          93      1   1508     -0.66         -   50
  archaea     RS_GCF_001436505.1_d__Bacteria;Lactobacillus_E_rennini                    48        1561      1   1508    744.44         -   54
